job_id,lon,lat,service_sec
38126,-76.5168729,3.4481117,600
38210,-76.5129373,3.4454785,600
38533,-76.5160233,3.4478583,600
166548,-76.51565068,3.4477606,600
170391,-76.5149188,3.4489193,600
178183,-76.51480166666667,3.448978333333333,600
178566,-76.5159867,3.446975,600
196943,-76.5168894,3.4481249,600
234818,-76.5137043,3.446393,600
244640,-76.5143159,3.4478687,600
244655,-76.5174333,3.447745,600
251876,-76.5000928,3.4496603,600
259432,-76.514895,3.4472117,600
287692,-76.5156258,3.4464223,600
308096,-76.5179237,3.4473015,600
324576,-76.5143298,3.4481618,600
324671,-76.516307,3.44835256,600
333772,-76.51545,3.4490600000000002,600
334722,-76.5142233,3.4465285,600
339268,-76.5142576,3.4465472,600
339337,-76.5164023,3.4470138,600
354422,-76.5158478,3.4468682,600
1557806,-76.514845,3.4480333333333335,600
1685593,-76.5171752,3.4479386,600
1729524,-76.5173955,3.4469352,600
1729534,-76.5117656,3.44623336,600
1729754,-76.51510666666667,3.4480783333333336,600
1798731,-76.5175267,3.4476233,600
37817,-76.5150528,3.4497839,600
38092,-76.5166983,3.4506329,600
38483,-76.5143597,3.4480461,600
38589,-76.5156419,3.4496047,600
38615,-76.514135,3.4503567,600
61188,-76.511693,3.4516009,600
164058,-76.5145463,3.4500774,600
165469,-76.5159021,3.4498812,600
178345,-76.5144491,3.4505138,600
333865,-76.502317,3.4487951,600
1465990,-76.4992382,3.4470083,600
1482455,-76.5146058,3.4496119,600
1513447,-76.5149949,3.4495529,600
1561304,-76.5144634,3.4497207,600
1561359,-76.5156261,3.4495398,600
1578576,-76.5149828,3.4494891,600
1730426,-76.5142202,3.4503206,600
26098,-76.507945,3.4425833333333333,600
38491,-76.51253227,3.44835682,600
38721,-76.5107231,3.4467185,600
38735,-76.5106102,3.4470031,600
38810,-76.5100154,3.4481285,600
137796,-76.5123287,3.4466778,600
146975,-76.5128287,3.447256,600
147382,-76.51099166666667,3.449185,600
147384,-76.5105605,3.449202,600
147535,-76.5128364,3.4472894,600
156195,-76.5123633,3.4486933,600
187551,-76.513761,3.4481155,600
224399,-76.51079,3.446775,600
244916,-76.5103374,3.4456391,600
245004,-76.5114559,3.4467694,600
251208,-76.5079679,3.449571,600
324290,-76.5102753,3.4488481,600
324515,-76.5122809,3.4461826,600
324521,-76.5120116,3.4473754,600
325253,-76.510506,3.4462926,600
339970,-76.5118517,3.44835,600
354410,-76.5123376,3.4492404,600
1483865,-76.5139727,3.4475636,600
1490057,-76.5104642,3.4455554,600
1491417,-76.510405,3.4456467,600
1491433,-76.5138411,3.4472014,600
1491472,-76.5107767,3.4467867,600
1491553,-76.5112129,3.4489047,600
1491622,-76.5109237,3.4483389,600
1524401,-76.511168,3.4480961,600
1557219,-76.5107365,3.4494712,600
1557235,-76.5118271,3.4493438,600
1557382,-76.5114902,3.4475938,600
1557559,-76.5114819,3.4475797,600
1560264,-76.5106672,3.4477654,600
1560940,-76.5000463,3.4496525,600
1683771,-76.5099023,3.4478387,600
1684050,-76.5032148,3.445195,600
1722261,-76.50479911,3.45100735,600
1725212,-76.50840498,3.4391721,600
1730081,-76.5137733,3.447885,600
1730097,-76.5123133,3.44954,600
1730167,-76.51192,3.4461167,600
1753151,-76.5088963508606,3.4514880180358887,600
9697,-76.5072591,3.4448192,600
10036,-76.50684166666666,3.442025,600
13372,-76.5019114,3.4408366,600
13968,-76.50529666666667,3.4440050000000006,600
15458,-76.5109817,3.4512783,600
32499,-76.50862833333333,3.44241,600
32830,-76.5072417,3.4437117,600
33052,-76.5075167,3.4428867,600
33067,-76.5146701,3.4484046,600
33080,-76.50713,3.444205,600
33123,-76.50966833333334,3.443475,600
38702,-76.5099005,3.4460284,600
40068,-76.5090244,3.446182,600
47873,-76.5087552,3.44418,600
126747,-76.5056477,3.4418511,600
136619,-76.5079433,3.44359,600
146834,-76.5174304,3.4475865,600
147129,-76.5090844,3.4508924,600
147182,-76.508115,3.4479483,600
147317,-76.509605,3.445733333333334,600
152783,-76.50337166666667,3.4421249999999994,600
173315,-76.5087448,3.4414058,600
174028,-76.5056056,3.4425043,600
174101,-76.5074581,3.4424035,600
174115,-76.5174232,3.4475901,600
174137,-76.5063417,3.4430883,600
174139,-76.5060323,3.4428705,600
174174,-76.5077917,3.4445517,600
174199,-76.5069728,3.4420107,600
174222,-76.5090557,3.4401188,600
174369,-76.5088798,3.4425232,600
174725,-76.50652833333334,3.443955,600
175304,-76.5018548,3.4479955,600
175550,-76.5032674,3.4426332,600
176759,-76.50277713,3.4435218,600
205312,-76.5067674,3.4458172,600
221544,-76.50294484,3.45050273,600
225235,-76.5073594,3.4433855,600
225273,-76.5100284,3.4464131,600
234208,-76.5097671,3.4456615,600
